test_id,algorithm,expected,actual,verification,ddl_duration,dml_ops,dml_errors,details
CD-VBIN-20-INSTANT,INSTANT,FAIL,SUCCESS,DDL_UNEXPECTED,0.0232,582,0,"{""test_id"": ""CD-VBIN-20-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""FAIL"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0232, ""dml_ops"": 582, ""dml_errors"": 0, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_expected_match"": false, ""t1_count"": 18, ""t2_count"": 18, ""count_match"": true}"
CD-VBIN-100-INPLACE,INPLACE,SUCCESS,SUCCESS,FAIL,0.02,578,1,"{""test_id"": ""CD-VBIN-100-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.02, ""dml_ops"": 578, ""dml_errors"": 1, ""verification"": ""FAIL"", ""mismatches"": [""L5 query error: (1146, \""Table 'ddl_test.t1' doesn't exist\"")""], ""ddl_expected_match"": true, ""t1_count"": 67, ""t2_count"": 67, ""count_match"": true}"
CD-VBIN-100-INSTANT,INSTANT,FAIL,SUCCESS,DDL_UNEXPECTED,0.023,566,3,"{""test_id"": ""CD-VBIN-100-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""FAIL"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.023, ""dml_ops"": 566, ""dml_errors"": 3, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_expected_match"": false, ""t1_count"": 71, ""t2_count"": 71, ""count_match"": true}"
CD-DEC-102-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0476,489,2,"{""test_id"": ""CD-DEC-102-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0476, ""dml_ops"": 489, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 85, ""t2_count"": 85, ""count_match"": true}"
CD-DEC-102-INSTANT,INSTANT,FAIL,FAIL_EXPECTED,PASS,0.0199,538,2,"{""test_id"": ""CD-DEC-102-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""FAIL"", ""ddl_actual"": ""FAIL_EXPECTED"", ""ddl_duration_s"": 0.0199, ""dml_ops"": 538, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_error"": ""(1146, \""Table 'ddl_test.t1' doesn't exist\"")"", ""ddl_expected_match"": true, ""t1_count"": 84, ""t2_count"": 84, ""count_match"": true}"
CD-DEC-180-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0219,591,3,"{""test_id"": ""CD-DEC-180-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0219, ""dml_ops"": 591, ""dml_errors"": 3, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t2_extra: id=100040"", ""data_mismatch: id=100050""], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 86, ""t2_count"": 86, ""count_match"": true}"
CD-DEC-180-INSTANT,INSTANT,FAIL,FAIL_EXPECTED,FAIL,0.0165,656,3,"{""test_id"": ""CD-DEC-180-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""FAIL"", ""ddl_actual"": ""FAIL_EXPECTED"", ""ddl_duration_s"": 0.0165, ""dml_ops"": 656, ""dml_errors"": 3, ""verification"": ""FAIL"", ""mismatches"": [""data_mismatch: id=100083""], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": true, ""t1_count"": 54, ""t2_count"": 54, ""count_match"": true}"
CD-DEC-6430-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0169,680,2,"{""test_id"": ""CD-DEC-6430-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0169, ""dml_ops"": 680, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""data_mismatch: id=100033""], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 50, ""t2_count"": 50, ""count_match"": true}"
CD-DEC-6430-INSTANT,INSTANT,FAIL,FAIL_EXPECTED,PASS,0.0173,588,3,"{""test_id"": ""CD-DEC-6430-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""FAIL"", ""ddl_actual"": ""FAIL_EXPECTED"", ""ddl_duration_s"": 0.0173, ""dml_ops"": 588, ""dml_errors"": 3, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": true, ""t1_count"": 46, ""t2_count"": 46, ""count_match"": true}"
CD-TEXT-T2T-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0211,630,4,"{""test_id"": ""CD-TEXT-T2T-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0211, ""dml_ops"": 630, ""dml_errors"": 4, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""data_mismatch: id=100038""], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 43, ""t2_count"": 43, ""count_match"": true}"
CD-TEXT-T2T-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0178,630,3,"{""test_id"": ""CD-TEXT-T2T-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0178, ""dml_ops"": 630, ""dml_errors"": 3, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t2_extra: id=100070"", ""t2_extra: id=100122"", ""data_mismatch: id=100131""], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 48, ""t2_count"": 50, """
CD-TEXT-T2M-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0194,619,1,"{""test_id"": ""CD-TEXT-T2M-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0194, ""dml_ops"": 619, ""dml_errors"": 1, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 50, ""t2_count"": 50, ""count_match"": true}"
CD-TEXT-T2M-INSTANT,,,,,,,,"{""error"": ""(1146, \""Table 'ddl_test.t2' doesn't exist\"")""}"
CD-TEXT-M2L-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0181,520,2,"{""test_id"": ""CD-TEXT-M2L-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0181, ""dml_ops"": 520, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t1_extra: id=100000"", ""data_mismatch: id=3""], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 6, ""t2_count"": 6, ""count_match"": true}"
CD-TEXT-M2L-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0165,471,2,"{""test_id"": ""CD-TEXT-M2L-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0165, ""dml_ops"": 471, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t2_extra: id=100004""], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 14, ""t2_count"": 13, ""count_match"": false}"
CD-BLOB-T2B-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0239,531,3,"{""test_id"": ""CD-BLOB-T2B-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0239, ""dml_ops"": 531, ""dml_errors"": 3, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t1_extra: id=100071"", ""t2_extra: id=100043"", ""t2_extra: id=100045""], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 36, ""t2_count"": 38, ""count_match"": false}"
CD-BLOB-T2B-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0222,553,4,"{""test_id"": ""CD-BLOB-T2B-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0222, ""dml_ops"": 553, ""dml_errors"": 4, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t2_extra: id=100048"", ""t2_extra: id=100058"", ""data_mismatch: id=100041"", ""data_mismatch: id=100047""], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_c"
CD-BLOB-B2M-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0234,470,4,"{""test_id"": ""CD-BLOB-B2M-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0234, ""dml_ops"": 470, ""dml_errors"": 4, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 53, ""t2_count"": 53, ""count_match"": true}"
CD-BLOB-B2M-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0182,553,3,"{""test_id"": ""CD-BLOB-B2M-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0182, ""dml_ops"": 553, ""dml_errors"": 3, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1146, \""Table 'ddl_test.t1' doesn't exist\"")"", ""ddl_expected_match"": false, ""t1_count"": 60, ""t2_count"": 60, ""count_match"": true}"
CD-BLOB-M2L-INPLACE,,,,,,,,"{""error"": ""(1146, \""Table 'ddl_test.t1' doesn't exist\"")""}"
CD-BLOB-M2L-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0225,575,2,"{""test_id"": ""CD-BLOB-M2L-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0225, ""dml_ops"": 575, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 4, ""t2_count"": 4, ""count_match"": true}"
CD-BIT-1to8-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0264,435,2,"{""test_id"": ""CD-BIT-1to8-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0264, ""dml_ops"": 435, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""data_mismatch: id=100009""], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 9, ""t2_count"": 9, ""count_match"": true}"
CD-BIT-1to8-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0219,602,0,"{""test_id"": ""CD-BIT-1to8-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0219, ""dml_ops"": 602, ""dml_errors"": 0, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t2_extra: id=100023""], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 16, ""t2_count"": 17, ""count_match"": false}"
CD-BIT-8to16-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.02,602,3,"{""test_id"": ""CD-BIT-8to16-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.02, ""dml_ops"": 602, ""dml_errors"": 3, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""data_mismatch: id=100005"", ""data_mismatch: id=100006"", ""data_mismatch: id=100017""], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 38, ""t2_count"": 38, ""count_match"":"
CD-BIT-8to16-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0212,645,5,"{""test_id"": ""CD-BIT-8to16-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0212, ""dml_ops"": 645, ""dml_errors"": 5, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""data_mismatch: id=100019"", ""data_mismatch: id=100020"", ""data_mismatch: id=100030"", ""data_mismatch: id=100033"", ""data_mismatch: id=100159""], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE."
CD-BIT-16to32-INPLACE,,,,,,,,"{""error"": ""(1146, \""Table 'ddl_test.t1' doesn't exist\"")""}"
CD-BIT-16to32-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0225,629,0,"{""test_id"": ""CD-BIT-16to32-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0225, ""dml_ops"": 629, ""dml_errors"": 0, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 54, ""t2_count"": 54, ""count_match"": true}"
CD-BIT-32to64-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0513,592,1,"{""test_id"": ""CD-BIT-32to64-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0513, ""dml_ops"": 592, ""dml_errors"": 1, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 51, ""t2_count"": 51, ""count_match"": true}"
CD-BIT-32to64-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0186,502,2,"{""test_id"": ""CD-BIT-32to64-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0186, ""dml_ops"": 502, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 36, ""t2_count"": 36, ""count_match"": true}"
RF-DYN-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0295,335,2,"{""test_id"": ""RF-DYN-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0295, ""dml_ops"": 335, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 50, ""t2_count"": 50, ""count_match"": true}"
RF-DYN-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0309,297,2,"{""test_id"": ""RF-DYN-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0309, ""dml_ops"": 297, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 56, ""t2_count"": 56, ""count_match"": true}"
RF-COM-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.04,320,1,"{""test_id"": ""RF-COM-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.04, ""dml_ops"": 320, ""dml_errors"": 1, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 66, ""t2_count"": 66, ""count_match"": true}"
RF-COM-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0522,283,1,"{""test_id"": ""RF-COM-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0522, ""dml_ops"": 283, ""dml_errors"": 1, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 50, ""t2_count"": 50, ""count_match"": true}"
RF-RED-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0307,328,1,"{""test_id"": ""RF-RED-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0307, ""dml_ops"": 328, ""dml_errors"": 1, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 60, ""t2_count"": 60, ""count_match"": true}"
RF-RED-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.042,305,2,"{""test_id"": ""RF-RED-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.042, ""dml_ops"": 305, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 48, ""t2_count"": 48, ""count_match"": true}"
RF-COM-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0463,340,2,"{""test_id"": ""RF-COM-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0463, ""dml_ops"": 340, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 64, ""t2_count"": 64, ""count_match"": true}"
RF-COM-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0215,376,2,"{""test_id"": ""RF-COM-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0215, ""dml_ops"": 376, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1845, 'ALGORITHM=INSTANT is not supported for this operation. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 38, ""t2_count"": 38, ""count_match"": true}"
TS-NARROW-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0306,355,3,"{""test_id"": ""TS-NARROW-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0306, ""dml_ops"": 355, ""dml_errors"": 3, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 58, ""t2_count"": 58, ""count_match"": true}"
TS-NARROW-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0247,366,2,"{""test_id"": ""TS-NARROW-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0247, ""dml_ops"": 366, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 69, ""t2_count"": 69, ""count_match"": true}"
TS-WIDE-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0329,351,1,"{""test_id"": ""TS-WIDE-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0329, ""dml_ops"": 351, ""dml_errors"": 1, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 57, ""t2_count"": 57, ""count_match"": true}"
TS-WIDE-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0368,373,2,"{""test_id"": ""TS-WIDE-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0368, ""dml_ops"": 373, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 61, ""t2_count"": 61, ""count_match"": true}"
TS-MAXROW-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0284,252,0,"{""test_id"": ""TS-MAXROW-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0284, ""dml_ops"": 252, ""dml_errors"": 0, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 128, ""t2_count"": 128, ""count_match"": true}"
TS-MAXROW-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0258,226,1,"{""test_id"": ""TS-MAXROW-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0258, ""dml_ops"": 226, ""dml_errors"": 1, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 113, ""t2_count"": 113, ""count_match"": true}"
LARGE_TABLE,,,True,PASS,310.7,17541,1160,"{""row_count"": 58916864, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3386576518)"", ""t2"": ""('ddl_test.t_large_oracle', 3924343378)""}, ""ddl"": {""success"": true, ""duration"": 310.7, ""error"": null}, ""dml_ops"": 17541, ""dml_errors"": 1160, ""dml_breakdown"": {""INSERT"": {""ops"": 6630, ""errors"": 0}, ""UPDATE"": {""ops"": 11, ""errors"": 0}, ""DELETE"": {""ops"": 4490, ""errors"": 0}, ""SELECT"": {""ops"": 27, ""errors"": 0}, ""UPSERT"": {""ops"": 6383, ""errors"": 1160}}, ""checksum_post"": {""t1"": ""('ddl_test.t_large', 2875783784)"", """
