test_id,algorithm,expected,actual,verification,ddl_duration,dml_ops,dml_errors,details
CD-INT-S-INSTANT,INSTANT,SUCCESS,SUCCESS,FAIL,0.0227,600,3,"{""test_id"": ""CD-INT-S-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0227, ""dml_ops"": 600, ""dml_errors"": 3, ""verification"": ""FAIL"", ""mismatches"": [""t1_extra: id=100060"", ""t2_extra: id=100021"", ""t2_extra: id=100026"", ""t2_extra: id=100037"", ""data_mismatch: id=100038"", ""data_mismatch: id=100120""], ""ddl_expected_match"": true, ""t1_count"": 42, ""t2_count"": 44, ""count_match"": false}"
CD-INT-U-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0651,617,5,"{""test_id"": ""CD-INT-U-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0651, ""dml_ops"": 617, ""dml_errors"": 5, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 53, ""t2_count"": 53, ""count_match"": true}"
CD-INT-U-INSTANT,INSTANT,SUCCESS,SUCCESS,FAIL,0.0261,612,3,"{""test_id"": ""CD-INT-U-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0261, ""dml_ops"": 612, ""dml_errors"": 3, ""verification"": ""FAIL"", ""mismatches"": [""t1_extra: id=100081"", ""t2_extra: id=100042""], ""ddl_expected_match"": true, ""t1_count"": 60, ""t2_count"": 61, ""count_match"": false}"
CD-TINY-S-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.029,586,3,"{""test_id"": ""CD-TINY-S-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.029, ""dml_ops"": 586, ""dml_errors"": 3, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 80, ""t2_count"": 80, ""count_match"": true}"
CD-TINY-S-INSTANT,INSTANT,SUCCESS,SUCCESS,FAIL,0.0217,594,5,"{""test_id"": ""CD-TINY-S-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0217, ""dml_ops"": 594, ""dml_errors"": 5, ""verification"": ""FAIL"", ""mismatches"": [""t1_extra: id=100082"", ""t2_extra: id=100030"", ""t2_extra: id=100113""], ""ddl_expected_match"": true, ""t1_count"": 71, ""t2_count"": 73, ""count_match"": false}"
CD-TINY-U-INPLACE,INPLACE,SUCCESS,SUCCESS,FAIL,0.0298,615,4,"{""test_id"": ""CD-TINY-U-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0298, ""dml_ops"": 615, ""dml_errors"": 4, ""verification"": ""FAIL"", ""mismatches"": [""t2_extra: id=100043"", ""t2_extra: id=100052"", ""data_mismatch: id=100013""], ""ddl_expected_match"": true, ""t1_count"": 76, ""t2_count"": 78, ""count_match"": false}"
CD-TINY-U-INSTANT,INSTANT,SUCCESS,SUCCESS,FAIL,0.0244,582,3,"{""test_id"": ""CD-TINY-U-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0244, ""dml_ops"": 582, ""dml_errors"": 3, ""verification"": ""FAIL"", ""mismatches"": [""t2_extra: id=100030"", ""t2_extra: id=100079"", ""data_mismatch: id=100039"", ""data_mismatch: id=100040"", ""data_mismatch: id=100094"", ""data_mismatch: id=100095""], ""ddl_expected_match"": true, ""t1_count"": 83, ""t2_count"": 84, ""count_match"": false}"
CD-CHAR-L1-INPLACE,INPLACE,SUCCESS,SUCCESS,FAIL,0.0292,583,5,"{""test_id"": ""CD-CHAR-L1-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0292, ""dml_ops"": 583, ""dml_errors"": 5, ""verification"": ""FAIL"", ""mismatches"": [""data_mismatch: id=100063""], ""ddl_expected_match"": true, ""t1_count"": 89, ""t2_count"": 89, ""count_match"": true}"
CD-CHAR-L1-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0255,507,5,"{""test_id"": ""CD-CHAR-L1-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0255, ""dml_ops"": 507, ""dml_errors"": 5, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 72, ""t2_count"": 72, ""count_match"": true}"
CD-CHAR-63U-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0301,568,5,"{""test_id"": ""CD-CHAR-63U-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0301, ""dml_ops"": 568, ""dml_errors"": 5, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 80, ""t2_count"": 80, ""count_match"": true}"
